# index eigen f_xx f_xxx pxx_x pyy_x pzz_x pxy_x pxz_x pyz_x
0   -0.18874  0.0539439 -0.000358908 0.000425075 -0.00103273          0 5.2958e-05          0          0
1   -0.13454   0.122228 -0.0012141 0.000672932 -0.000251368          0 0.000134031          0          0
2  -0.116585   0.121024 -0.0012758 -0.000439045 0.000863672          0 0.000196374          0          0
3 -0.0764976     0.1176 0.00140828 0.00112479 -0.000959911          0 -0.000571224          0          0
4 -0.0422229   0.121424 0.000218046 0.000641387 0.000123336          0 0.000131812          0          0
5 -0.0207015   0.167726 0.00106788 -0.000166901 -1.21065e-05          0 -0.000614575          0          0
6 -0.00419264   0.202629 -0.00184367 0.00053414 -0.000645942          0 0.000394099          0          0
7  0.0225722   0.196438   0.324015 -0.000428703 0.00106046          0 0.000136214          0          0
8  0.0304073   0.241594 -0.0879971 -0.000693979 -0.000410366          0 0.000818911          0          0
9  0.0436028   0.228723 -0.00401167 -0.000674101 0.000542028          0 -5.77405e-05          0          0
10  0.0678417   0.272635   0.102051 -0.000118628 0.00094018          0 0.000254567          0          0
11  0.0868055   0.242957  -0.184326 0.000467769 -0.000329755          0 -0.000202166          0          0
12   0.120408   0.229066    5.50902 -0.00112541  0.0019773          0 -0.000708287          0          0
13   0.129506   0.318053  -0.012473 -0.000853802 0.000936723          0 5.01037e-05          0          0
14   0.136035   0.337787 -0.0164647 0.000569439 -0.000689763          0 -0.000568191          0          0
15   0.145731   0.331904  0.0611105 -0.000447919 0.000169615          0  0.0010992          0          0
16   0.162845   0.371884 -0.0436639 0.000866599 -0.000814047          0 0.000423025          0          0
17   0.176357   0.352002  -0.254845 0.000101977 -2.49538e-05          0 0.000366029          0          0
18   0.194642   0.343924  -0.111016 0.000127162 -0.000483412          0 -0.000203533          0          0
19     0.1976   0.382031 -0.0023524 -0.000164726 0.000137849          0 -6.56077e-05          0          0
20   0.225446   0.379563  0.0289212 0.000207159 0.000348306          0 -0.000770613          0          0
21   0.241752   0.377551  0.0578305 -0.000494992 -0.000136719          0 -0.000819809          0          0
22   0.265832   0.404906    0.13856 -0.000324437 0.000296165          0 -0.00028703          0          0
23   0.271293   0.407491   0.217334 -2.45062e-05 0.00147917          0 6.47744e-05          0          0
24   0.291693   0.403203   0.131228 -0.000575493 0.00102027          0 9.79811e-05          0          0
25   0.304873   0.416651   0.403462 -3.90481e-06 -0.000515357          0 -0.000598694          0          0
26   0.338129   0.464454 0.00975886 -0.000497453 0.000244518          0 -0.000841191          0          0
